universidades,univalle,4
univalle,buitrera,1
buitrera,melendez,2
melendez,capri,8
capri,caldas,3
caldas,refugio,2
refugio,pampalinda,2
pampalinda,plaza de toros,2
plaza de toros,unidad deportiva,2
unidad deportiva,lido,1
lido,tequendama,2
tequendama,estadio,2
estadio,manzana del saber,2
manzana del saber,santa librada,1
santa librada,san bosco,2
san bosco,san pascual,2
san pascual,fray damian,10
san pascual,sucre,2
sucre,petecuy,3
petecuy,san pedro,3
petecuy,centro,9
petecuy,plaza de caycedo,10
san pedro,la ermita,1
san pedro,torre de cali,1
torre de cali,versalles,3
versalles,las americas,1
las americas,prados del norte,4
prados del norte,vipasa,2
vipasa,alamos,4
alamos, menga,2
torre de cali,san nicolas,3
san nicolas,piloto,1
piloto,fatima,1
fatima,manzanares,1
manzanares,popular,2
popular,salomia,2
salomia,flora industrial,3
flora industrial,chiminangos,3
chiminangos,paso del comercio,2
menga,paso del comercio,9
menga,andres sanin,33
paso del comercio,andres sanin,23
universidades,simon bolivar,15
simon bolivar,calipso,19
calipso,conquistadores,4
conquistadores,villanueva,3
villanueva,santa monica,2
santa monica,primitivo,2
primitivo,cien palos,2
cien palos,san pascual,5
calipso,troncal unida,15
troncal unida,amanecer,3
amanecer,nuevo latir,2
san pascual,belalcazar,2
belalcazar,floresta,1
floresta,atanasio girardot,3
atanasio girardot,chapinero,3
chapinero,villa colombia,2
villa colombia,el trebol,2